,Название,Фандомы,Автор,Пейринг и персонажи,Жанр,Все теги,Теги 18+,Возрастное ограничение,Статус,Лайки,Отзывы,В сборник,Размер,Описание,Посвящение,Примечания автора,Публикация на других ресурсах,Горячая работа
263,Одиночество и единство,['Роулинг Джоан «Гарри Поттер»'],['Lion Writer'],[],Джен,"['AU', 'Горе / Утрата', 'Дети', 'Драма', 'Другой факультет', 'Дружба', 'Контроль сознания', 'Магия', 'Насилие над детьми', 'Одиночество', 'Отклонения от канона', 'Покушение на жизнь', 'Психологическое насилие', 'Психология', 'Сверхспособности', 'Счастливый финал', 'Телепатия', 'Телепортация', 'Телесные наказания', 'Убийства', 'Упоминания насилия', 'Упоминания смертей', 'Упоминания убийств', 'Условное бессмертие', 'Фантастика', 'Философия', 'Фэнтези', 'Частичный ООС', 'Элементы ангста', 'Элементы детектива', 'Элементы юмора / Элементы стёба']",[],G,В процессе,11,8,8,"планируется Макси, написано                                                62 страницы,
                                                14 частей","""Одиночество порождает единство, единство разбивает одиночество. Оружие, способное уничтожить себя, есть мощнейшее оружие""",,"Пожалуйста, если вы прочитали хотя бы одну главу, напишите комментарий! Мне очень важно знать ваше мнение! Это моя первая работа, и я совершенно не могу понять, понравится она вам или нет. Заранее спасибо всем отзывчивым людям :)",Разрешено копирование текста с указанием автора/переводчика и ссылки на исходную публикацию,False
264,Ангел с пленительной улыбкой,['Пацанки'],['bunnyRoger'],['Лаура Лукина/Мария Третьякова'],Фемслэш,"['AU', 'Hurt/Comfort', 'Алкоголь', 'Ангст', 'Грубый секс', 'Засосы / Укусы', 'Курение', 'Любовь/Ненависть', 'Нежный секс', 'ООС', 'Отношения втайне', 'Романтика', 'Секс-игрушки']","['Алкоголь', 'Грубый секс', 'Курение', 'Нежный секс', 'Секс-игрушки']",NC-21,В процессе,27,2,3,"планируется Миди, написано                                                11 страниц,
                                                4 части","Лаура Альбертовна Лукина – директор модельного агентства « Grace Models» однажды замечает анкету Марии Третьяковой, которая хочет стать моделью. Возьмет ли Директор новую модель себе под крыло? Как же сложатся их отношения?",,"Пищу первый раз, поэтому не кидайтесь помидорами) 
P.S. 
Лауре 40 лет , Третьяковой 25.",Разрешено только в виде ссылки,False
265,Тайна Чёрной вдовы,"['Мстители', 'Майор Гром: Чумной Доктор']","['Котя Чеширский', 'Рене Уокер']",[],Джен,['AU'],[],G,Завершён,0,0,0,"2 страницы,
                                                1 часть",У Наташи Романофф слишком много тайн. И постепенно она раскрывает их перед дорогими ей людьми. Но о самой главной тайне они узнают случайно,,,Разрешено копирование текста с указанием автора/переводчика и ссылки на исходную публикацию,False
266,Ночной охотник,"['Marvel Comics', 'Мстители', 'Сорвиголова']",['Comrad Wolf'],['ОМП/Шерон Картер (Агент 13)/Фелиция Харди (Чёрная Кошка)'],Гет,"['AU', 'Hurt/Comfort', 'Жестокость', 'Насилие', 'Нецензурная лексика', 'ОМП', 'ООС', 'Повествование от первого лица', 'Психология', 'Романтика', 'Фантастика', 'Экшн']","['Жестокость', 'Насилие', 'Нецензурная лексика']",NC-17,В процессе,64,19,11,"планируется Макси, написано                                                129 страниц,
                                                26 частей","Что самое не приятное в смерти? Сам её факт? Или то, что человек которого ты любил стоит над тобой с окровавленным ножом и в её глазах читается лишь чистое отвращение. А любил ли её я? Кто она? Кто я? На эти вопросы я не могу дать ответы даже самому себе, разрываемый с детства реалистичными кошмарами, неспеша проживая свою жизнь в этом гендерном аду. Это Марвел-11, детка.",,"Просто творческий полёт фанеры над Парижем(нет), свои мысли и идеи. Опыта в письме как таковой нет, так что прошу, не бейте, ну или бейте, только не ногами!",Уточнять у автора/переводчика,False
267,High Speed Dirt,['Megadeth'],['ortem'],['Дэйв Мастейн/Дэвид Джуниор Эллефсон'],Слэш,"['AU', 'Байкеры', 'Драки', 'Пре-слэш']",[],PG-13,В процессе,1,1,0,"планируется Мини, написано                                                2 страницы,
                                                1 часть",аааа нахуй,,,Уточнять у автора/переводчика,False
268,Моя ты гибель...,['Трансформеры'],['Александрия Прайм'],"['Арси/Оптимус Прайм', 'Оптимус Прайм/Арси']",Гет,"['AU', 'Hurt/Comfort', 'Воспоминания', 'Домашнее насилие', 'Драма', 'Жестокость', 'Любовь/Ненависть', 'Нежелательные чувства', 'Нецензурная лексика', 'ООС', 'Обман / Заблуждение', 'Отклонения от канона', 'Пари', 'Сложные отношения', 'Смерть основных персонажей', 'Упоминания смертей', 'Фиктивный брак', 'Хуманизация', 'Юмор']","['Жестокость', 'Нецензурная лексика']",PG-13,В процессе,71,186,2,"планируется Макси, написано                                                134 страницы,
                                                33 части","— Хорошо, я откроюсь тебе, отведёшь ли ты взгляд? Если я сознаюсь, ты обманишь меня...
— Ну, и ладно. Пусть будет то, что будет. А будет только то, что ты меня погубишь!",,"Сменила название и описание на более пафосное, хотя старое тоже было нечего😅.",Запрещено в любом виде,False
269,Фнаф сб фанатское издание,"[""Five Nights at Freddy's""]",['Лирика Блуд'],[],Джен,"['AU', 'ООС', 'Повествование от первого лица', 'Фэнтези']",[],PG-13,В процессе,1,1,0,"планируется Макси, написано                                                6 страниц,
                                                3 части","""Вы когда-нибудь оказывались между двух огней? Вот мне довелось оказаться в конфликте одной странной семьи, только из-за того, что я с друзьями остался до поздна в пиццерии мега-плексе Фредди Фазбер интертеймант..."" Так думал подросток Грегори сидя в тесной темной кладовке, пока за дверью гремел бой между железными зверьми. Они попутно спорили, но их голоса сливались со звоном металла и рычанием...  ",,"К сожалению мне не хватило места, чтобы выложить полностью предисловие... (Это моя первая выложенная работа)",Уточнять у автора/переводчика,False
270,Наша сказка,['Мир Эдда'],"['_.Belka._', 'SweetSh0w']","['Торд/Том', 'Торд/monster!Том']",Слэш,"['AU', 'Hurt/Comfort', 'Ангст', 'Артефакты', 'Ведьмы / Колдуны', 'Волшебники  / Волшебницы', 'Временная смерть персонажа', 'Временные превращения', 'Вымышленные существа', 'Деревни', 'Леса', 'Любовь/Ненависть', 'Магия', 'Мистические защитники', 'Монстры', 'Нецензурная лексика', 'От врагов к возлюбленным', 'От врагов к друзьям', 'Охотники на нечисть', 'Плантокинез', 'Плен', 'Потеря памяти', 'Предательство', 'Приключения', 'Смена сущности', 'Смерть второстепенных персонажей', 'Смерть основных персонажей', 'Фэнтези']",['Нецензурная лексика'],NC-17,В процессе,83,194,20,"планируется Макси, написано                                                122 страницы,
                                                8 частей",Давай в этой сказке будет хороший конец?,,"Мммм.....я попытаюсь не здохнуть пока буду писать этот фф, лады?",Уточнять у автора/переводчика,False
271,Our future,['ENHYPEN'],['Malvina Palmor'],['Ян Чонвон/Пак Чонсон'],Слэш,"['AU', 'Драма', 'Любовь/Ненависть', 'ООС', 'Повседневность', 'Романтика', 'Соулмейты', 'Элементы ангста']",[],R,В процессе,80,130,24,"планируется Макси, написано                                                127 страниц,
                                                28 частей","Почти идеальный мир, в котором у каждого на запястье появляется имя соулмейта. Почти, потому что помимо первого имени, у единиц со временем появляется и второе. Имя человека, который тебя убьёт. Это не так страшно, ведь ты сразу знаешь кто есть кто, второе имя появляется позже первого... или нет? Как бы не было удивительно, но именно у Сону появится второе имя. Одновременно с первым. А его лучший друг - Чонвон встретит парня с очень пронзительным взглядом и непредсказуемой личностью. ",,Моя первая работа. Раньше мной не делались даже зарисовки. Можно поздравить с дебютом. :),Уточнять у автора/переводчика,False
272,Take the silver bullets and save me now,['Клуб Романтики: Грешный Лондон'],"['Kiko Lin', 'Кейт Романова']",['Ирэн/Шерлок Холмс'],Гет,"['AU', 'Драма', 'Кровь / Травмы', 'Монстры', 'Отклонения от канона', 'Романтика', 'Элементы детектива', 'Элементы драмы', 'Элементы мистики', 'Элементы флаффа']",[],R,В процессе,16,2,2,"планируется Миди, написано                                                43 страницы,
                                                4 части","Ирэн обвиняют в убийстве, а нечисть уже готова напасть из-за угла. Что случиться раньше: вражеские пальцы сомкнуться на её шее, или острые клыки монстра лишат девушку жизни? И кому на самом деле можно доверять, когда опасность уже дышит в затылок?  ",,,Уточнять у автора/переводчика,False
273,solar eclipse,['Mo Dao Zu Shi'],['Печеньк0'],['Лань Чжань/Вэй Ин'],Слэш,"['AU', 'UST', 'Драма', 'ООС', 'Отклонения от канона']",[],PG-13,В процессе,290,44,117,"планируется Миди, написано                                                87 страниц,
                                                26 частей","AU!Оставшись без родителей, маленький Вэй Ин попадает в орден Цишань Вэнь и растет под присмотром Вэнь Жо Ханя.

(по заявке)",,"Попытка не пытка:D
Случайно попалась интересная заявка по МДК. Подробного описания там, к сожалению, нет, но это дает свободу фантазии. 

----------------------------------------------------------------------------

P.S. К сожалению, заявка была удалена прежде, чем вышла первая глава работы по ней. Спасибо автору заявки за интересную идею. 

Данная работа была создана и начата в черновиках еще очень давно, в начале апреля, но выпускаю только сейчас~",Уточнять у автора/переводчика,False
274,À la guerre comme à la guerre.,['Импровизация'],['toryeith'],['Антон Шастун/Арсений Попов'],Джен,"['AU', 'Ангст', 'Военные', 'Вторая мировая', 'Драма', 'Курение', 'Нецензурная лексика', 'Психология', 'Рейтинг за насилие / Рейтинг за жестокость', 'Россия', 'Смерть второстепенных персонажей', 'Смерть основных персонажей', 'Советский Союз', 'Соулмейты', 'Соулмейты: Физические проявления', 'Счастливый финал', 'Эксперимент', 'Элементы гета']","['Курение', 'Нецензурная лексика', 'Рейтинг за насилие / Рейтинг за жестокость']",NC-17,В процессе,2,2,3,"планируется Миди, написано                                                12 страниц,
                                                4 части","Душа Арсения была намного старше души Антона, хотя сам Арсений — не намного. ",,"я бы мог описать суть ау, но мне кажется, вам будет интереснее открывать что-то новое или строить собственные теории в процессе. желаю приятного времяпровождения.",Уточнять у автора/переводчика,False
275,Повесть заката или 10 жизней Огня,['Хантер Эрин «Коты-Воители»'],['Гвардозвёзд 777'],['Огнегрив/Пестролистая'],Джен,"['AU', 'Любовь/Ненависть', 'ОМП', 'ООС', 'Повседневность', 'Смерть основных персонажей']",[],R,В процессе,3,4,2,"планируется Макси, написано                                                66 страниц,
                                                41 часть","Предводитель у Лунного камня получает 9 жизней, чтобы править племенем. Но любой кот существовал в прошлой жизни, так что если прошлое воспротивится новым жизням и возьмёт верх? Что будет если Коготь нападет раньше,глашатаем станет Буран, а Звездолом сбежит из плена?",,"Главы будут выходить нечасто. Отклонения от канона начинаются с покушения Когтя на Синюю Звезду после похищения котят. Так что не стоит удивляться, если некоторые персонажи будут живыми.",Уточнять у автора/переводчика,False
276,Пока цветёт слива,['Mo Dao Zu Shi'],['Annie Ebingansh'],"['Лань Чжань/Вэй Ин', 'Лань Хуань/Цзян Чэн', 'Цзинь Цзысюань/Цзян Яньли']",Слэш,"['AU', 'Hurt/Comfort', 'Ангст', 'Война', 'Мистика', 'ООС', 'Первый раз', 'Романтика', 'Смерть второстепенных персонажей', 'Упоминания изнасилования', 'Характерная для канона жестокость']","['Упоминания изнасилования', 'Характерная для канона жестокость']",NC-17,В процессе,499,111,219,"планируется Макси, написано                                                77 страниц,
                                                15 частей","Мощь ордена Ци Шань Вэнь оказалась слишком велика, а времени, чтобы собрать армию и оказать сопротивление, – слишком мало. Находясь в последнем оплоте – Нечистой юдоли, остатки орденов заклинателей сражаются из последних сил. Но кто бы мог подумать, что в разгар битвы к ним на помощь придут сотни мертвецов и единственным безопасным местом для них станет гора Луань Цзан. ",,"**АХТУНГ! ЗЛЮКЕН СОБАКЕН!**
Пишу все китайские названия и имена раздельно, т.е. не Вэй Усянь, а Вэй У Сянь, или не Цинхэ Не, а Цин Хэ Не. И я ЗНАЮ, что правильно писать слитно, НО в этом фф буду писать так, как хочу, может быть в других фф буду писать правильно. Не надо мне в ПБ писать об этом, я знаю, как правильно! Не нравится – не читайте, потому что я всё равно не буду исправлять (может быть, когда-нибудь, но вряд ли).**ФЕРШТЕЙН?**
А, и ещё вас ждут просто куууча новых названий/имён/терминов на китайском, так что готовьтесь.",Уточнять у автора/переводчика,False
277,История одного лета,['Yuukoku no Moriarty'],['Осколок души поэта'],['Шерлок Холмс/Уильям Джеймс Мориарти'],Слэш,"['AU', 'ООС', 'Романтика', 'Сборник драбблов']",[],PG-13,В процессе,14,9,4,"планируется Миди, написано                                                6 страниц,
                                                3 части","Все ведь ждали лета? Два гения - тоже, но если у обычных людей лето обычное, то у гениев...всё наперекосяк? волшебно и романтично? или же...",,"Почти всё основано на реальных событиях, хых))",Уточнять у автора/переводчика,False
278,Еще раз на похоронах,['Волчонок'],['x-Senya-x'],"['Дерек Хейл/Стайлз Стилински', 'Теодор Рэйкен/Стайлз Стилински', 'Теодор Рэйкен/Кора Хейл']",Слэш,"['AU', 'Ёкаи', 'Ангст', 'Драма', 'Кладбища', 'Мифы и мифология', 'ООС', 'Обман / Заблуждение', 'Оборотни', 'Подростки', 'Психические расстройства', 'Психология', 'Селфхарм', 'Темы этики и морали', 'Упоминания убийств', 'Фобии']",['Селфхарм'],NC-17,В процессе,8,2,13,"планируется Мини, написана                                                71 страница,
                                                11 частей","В БХ умирает девушка, которая сестра Дерека Хейла, и тот приезжает на ее похороны. Так как Лора была местной знаменитостью, на ее погребение собирается половина школы. В том числе и Стайлз. Стайлз замечает Дерека и моментально заинтересовывается в нем. Всю неделю после похорон Стайлз думает о Дереке, а позже случается новое убийство. У всех в голове вопрос: ""почему снова?"". Но разве ответ не очевиден?",,"мой паблик, если желаете: https://vk.com/ficexeniaone
музыка к фф, если интересно: https://vk.com/music/playlist/404198866_41
картиночки и прочий визуал к фф: https://vk.com/album-104038092_279579574

!!! не бечено. что-то темное и мутное. стерек и стео. стайлз делает нехорошие вещи на пару с тео, но есть и милые моменты (?) с дереком.",Разрешено только в виде ссылки,False
279,Просто полюби меня сильней,['Мстители'],['Sunflover'],[],Гет,"['AU', 'ОЖП', 'ООС', 'Отклонения от канона', 'Рейтинг за секс', 'Смерть второстепенных персонажей', 'Фэнтези']",['Рейтинг за секс'],NC-17,В процессе,0,0,0,"планируется Миди, написана                                                1 страница,
                                                1 часть","Действительно, ли можно полюбить человека больше, чем что либо на всем свете ",,,Уточнять у автора/переводчика,False
280,Пошатнись в своих убеждениях,['Shingeki no Kyojin'],"['Darkoss Zlo', 'Ardellia']",['Леви Аккерман/Микаса Аккерман'],Гет,"['AU', 'ER', 'Ангст', 'Беременность', 'Боль', 'Временная смерть персонажа', 'Драма', 'Дружба', 'Канонная смерть персонажа', 'Любовь/Ненависть', 'Насилие', 'Нецензурная лексика', 'ОЖП', 'ОМП', 'ООС', 'Романтика', 'Смерть второстепенных персонажей', 'Упоминания войны']","['Насилие', 'Нецензурная лексика']",NC-17,В процессе,178,162,59,"планируется Макси, написано                                                109 страниц,
                                                18 частей","Каждый неверный шаг - может лишить тебя жизни. Но что, если этих ошибок не избежать. Сколько раз нужно начинать жизнь с чистого листа, и давать обещания, которые ты не в силах исполнить? Сколько раз тебя будут предовать, а может предатель это - ты? А если конец не наступит уже никогда...",,"Хочу рассказать о некоторых деталях данного фика:
1. Некоторые события и действия будут идти не по канону или манге.
2. Некоторые персонажи не погибнут как в аниме или манге.
3. Возраст некоторых героев также может быть кое-где  переделан (иногда автор делал это намеренно).
4. В начале работы Микасе - 16, Леви - 27).
5. Первое название фф - ""За ложь всегда надо платить"".

ПБ для всех открыта. Если увидите ошибки, можете их отмечать)))  
Отношусь к любой критике нормально, так что пишите так как думаете.

Так же хочу отдельно поблагодарить тех, кто со мной с самого начала этого фанфика и проходят все творческие кризисы со мной. Говорю вам отдельное большое спасибо) 

Большое спасибо вам всем за 150 ваших оценок ""нравится"".
Всех люблю)))",Разрешено только в виде ссылки,False
281,Жизнь знаков зодиака,['Ориджиналы'],['Chamomile and coffee'],[],Джен,"['AU', 'Дружба', 'ООС', 'Романтика', 'Флафф', 'Юмор']",[],G,В процессе,3,0,1,"планируется Мини, написано                                                9 страниц,
                                                4 части","В этом фанфике будут описываться истории которые происходили со знаками зодиака, к примеру как они учились в школе, сдавали экзамен и как они уживаются в месте.",,,Уточнять у автора/переводчика,False
282,Проклятье старого дома,['Кантриболс (Страны-шарики)'],['Реночка Ютубер'],"['Россия/США', 'СССР/Третий Рейх', 'Китай /Вьетнам', 'Канада/Казахстан']",Слэш,"['AU', 'Hurt/Comfort', 'Ангст', 'Временная смерть персонажа', 'Выживание', 'Вымышленные существа', 'Дарк', 'Драма', 'Дружба', 'Любовь/Ненависть', 'Мистика', 'Нецензурная лексика', 'ООС', 'От врагов к возлюбленным', 'От врагов к друзьям к возлюбленным', 'Повествование от первого лица', 'Приключения', 'Романтика', 'Счастливый финал', 'Тайны / Секреты', 'Триллер', 'Ужасы', 'Фантастика', 'Фэнтези']",['Нецензурная лексика'],PG-13,В процессе,53,26,11,"планируется Миди, написано                                                8 страниц,
                                                5 частей","В старом доме СССР все было нормально. Ну не совсем. Все часто слышали страшные звуки, раздающиеся по ночам. Через несколько лет России понадобилось что-то в этом доме. Он пошёл туда и пропал. За ним пошли ещё некоторые страны и тоже пропали. Теперь пропавшим странам придётся разгадать тайну старого дома и выбраться оттуда. Но какой ценой?",,"1. Здесь страны, которые сейчас не существуют (к примеру СССР), не умирают, а подают в отставку
2. Но страны могут умирать",Уточнять у автора/переводчика,False
283,Новая жизнь.,['Рататуй'],['Элиора'],"['ОЖП/Реми', 'Альфредо Лингвини/Колетт Тату']",Джен,"['AU', 'Временные превращения', 'Второстепенные оригинальные персонажи', 'Драма', 'Любовь с первого взгляда', 'ОЖП', 'От друзей к возлюбленным', 'Отклонения от канона', 'Постканон', 'Рестораны', 'Романтика', 'Смена сущности']",[],PG-13,В процессе,0,0,0,"планируется Миди, написано                                                4 страницы,
                                                2 части","В новогоднюю ночь Реми загадывает желание, которое полностью меняет его жизнь...",,,Уточнять у автора/переводчика,False
284,Не думай о пустоте,"['Черепашки-ниндзя', 'Уличные панки']",['LilviVix'],['М.С./Донателло'],Слэш,"['AU', 'Hurt/Comfort', 'Боль', 'Воспоминания', 'Драма', 'Забота / Поддержка', 'Курение', 'Нецензурная лексика', 'ООС', 'Подростки', 'Попаданчество', 'Приключения', 'Психология', 'Разговоры', 'Романтика', 'Селфхарм', 'Упоминания селфхарма', 'Юмор']","['Курение', 'Нецензурная лексика', 'Селфхарм', 'Упоминания селфхарма']",NC-17,В процессе,23,18,5,"планируется Макси, написано                                                55 страниц,
                                                10 частей","М.С. попадает в пустоту. Где встречает двойника своего брата. Вместе они пытаются найти выход из пустоты. 
Получиться ли им найти выход? К чему это приведет?",,"Это моя первая работа,буду ждать критики,надеюсь вам понравится.В дальнейшем планирую развиваться и рисовать рисунки к главам.",Уточнять у автора/переводчика,False
285,"Сегодня НЕ увидишь своего мужа, нагито-кун💕","['Danganronpa: Trigger Happy Havoc (Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei)', 'Danganronpa 2: Goodbye Despair', 'DanganronpaV3:killing Harmory']",['Lol_lolopik'],"['Кайто Мамото/Нагито Комаэда', 'Нагито Комаэда/Хаджимэ Хината', 'Кокичи Ома/Нагито Комаэда', 'Нагито Комаэда/Кайто Мамото/Кокичи Ома']",Другие виды отношений,"['AU', 'Hurt/Comfort', 'Ангст', 'Временная смерть персонажа', 'Драма', 'Засосы / Укусы', 'Любовь/Ненависть', 'Мастурбация', 'Минет', 'Насилие', 'Нецензурная лексика', 'Семьи', 'Смерть основных персонажей', 'Течка / Гон', 'Яндэрэ']","['Мастурбация', 'Минет', 'Насилие', 'Нецензурная лексика', 'Течка / Гон']",NC-17,В процессе,5,3,1,"планируется Миди, написано                                                6 страниц,
                                                2 части","Заместь казни Кайте Момото дали игровой кубик,после чего его кастрировали на несколько недель. Но половие органи девушки проявили себя,Кайто влюбился в Нагото куна,но он етого не стидился ведь пока он щитаеться натуралом. Но вот незадача у Нагито куна уже есть 1 семья, слэша. Кайто не воспринял такой грубости и решил отомстить,оставив записку в столовой ""Не жди своего мужа,малиш"". Что же будет с бедним хаджиме которий попал под урон яндерки?",,"Момото,поздравляю тебя я пишу фф про нашу ролку 😀💕",Уточнять у автора/переводчика,False
286,Магнит для нечисти,"['Xiao Zhan', 'Wang Yibo', 'Wang Haoxuan']",['Псих с кухонным ножикам'],['Ван Ибо/Сяо Чжань'],Слэш,"['AU', 'Охотники на нечисть', 'Призраки', 'Фамильяры', 'Элементы гета']",[],R,В процессе,7,2,6,"планируется Миди, написано                                                6 страниц,
                                                2 части","- Конец тебе. - Буднично проговорил свой вердикт парень, никак не реагируя на округлившиеся глаза Ибо. 
- Ты шутишь? - Ибо вцепился в его предплечье как утопающий. - Скажи что ты так пошутил!

",,"Я люблю страшилки, а как известно Ван Ибо их не любит. Давайте представим что Ибо попал в свой самый ненавистный кошмар.",Уточнять у автора/переводчика,False
287,Their Beloved Prince,"['Роулинг Джоан «Гарри Поттер»', 'Сумерки. Сага', 'Майер Стефани «Сумерки»', 'Гарри Поттер']",['Limus2010'],"['Гарри Поттер/Эмметт Каллен', 'Гарри Поттер/Феликс Вольтури']",Слэш,"['AU', 'Hurt/Comfort', 'Вампиры', 'Вымышленные существа', 'Насилие над детьми', 'Похищение', 'Частичный ООС']",[],Перевод,R,887,74,515,"планируется Макси, написана                                                121 страница,
                                                11 частей","Вольтури нашли умирающего Гарри Поттера. Рискнув, Аро решает обратить его и воспитать с помощью своих братьев. Окажется ли Гарри таким же, как все остальные бессмертные дети, или будет чем-то большим?",,,Уточнять у автора/переводчика,False
288,Твои ручки такие холодные...,['Ориджиналы'],['Позерка332'],"['Рома Пятифан/ОЖП, Бяша, Катя Смирнова, Полина Морозова, Антон Петров, Бабурин Семён, Оля Петрова']",Слэш,"['AU', 'Дружба', 'Любовь/Ненависть', 'Нецензурная лексика', 'ОЖП', 'Романтика', 'Фэнтези']",['Нецензурная лексика'],NC-21,В процессе,0,1,0,"планируется Миди, написана                                                1 страница,
                                                1 часть","Маленькая девочка Наденька, ещё будучи ребёнком попала в страшную трагедию  в маленьком посёлке... А в прочем что я буду спойлерить, я вам эту историю и расскажу)!",,"Это моя первая работа, и надеюсь не последняя, главы выходят каждый день! Буду чихать ваши тёплые отзывы, и добавлять идеи)",Уточнять у автора/переводчика,False
289,Петуния Гвендолин Дурсль,"['Роулинг Джоан «Гарри Поттер»', 'Гарри Поттер']",['Dajana le Morano'],"['ожп!Петуния Дурсль/Вернон Дурсль', 'Лили Поттер/Джеймс Поттер', 'Сириус Блэк/Ремус Люпин', 'Вальбурга Блэк/Орион Блэк', 'Беллатрикс Лестрейндж/Родольфус Лестрейндж']",Смешанная,"['AU', 'AU: Другое детство', 'AU: Другое знакомство', 'Волшебники  / Волшебницы', 'Вымышленные существа', 'Дремлющие способности', 'Магия', 'Магия крови', 'Мужская беременность', 'Неторопливое повествование', 'ОЖП', 'ООС', 'Повседневность', 'Попаданцы: В чужом теле', 'Попаданчество', 'Проводники душ', 'Разговоры', 'Раскрытие магии', 'Скрытые способности', 'Счастливый финал', 'Характерная для канона жестокость', 'Элементы мистики', 'Элементы слэша', 'Элементы флаффа', 'Элементы юмора / Элементы стёба']",['Характерная для канона жестокость'],NC-21,В процессе,742,719,406,"планируется Макси, написано                                                177 страниц,
                                                45 частей","Стечение обстоятельств, немного мистики ... Ох, говорила мне бабуля не баловаться с зеркалами, не то беда будет. А я не послушала. Захотелось мне в Рождественскую ночь будущее посмотреть. Ну что же, буду оптимисткой: я замужем, у меня новорожденный сын и я в Англии. И всё бы ничего, то есть я не то, чтобы против, есть только одно ""НО"" доводящее меня до истерики: я Петуния Дурсль. Вдох-выдох,  успокаиваемся, сжимаем кулаки и понемногу начинаем творить свою сказку.",,"Я начинающий автор. Как часто будут выходить главы не знаю, так как работаю. Но раз в неделю точно. По мере написания работы в истории будут появляться  другие персонажи, из канона и может быть мои. Обоснованной  критике буду только рада. ПОЖАЛУЙСТА, ОСТАВЛЯЙТЕ ОТЗЫВЫ, ХОТЬ""+"" ИЛИ ""–"", чтобы я видела, что вам интересно.",Уточнять у автора/переводчика,False
290,Капкан,['Ветреный'],['Desertrose04'],[],Гет,"['AU', 'Ангст', 'Драма', 'Любовь/Ненависть', 'Романтика']",[],R,В процессе,19,156,6,"планируется Миди, написано                                                54 страницы,
                                                16 частей","Алчность, желание любым способом достичь власти - еще никому не приносили блага. Душа, не имеющая свободы, попала в капкан гнусной, и пустой мечты стать госпожой, обрести неограниченную силу, вовлекая за собой предательство и смерть. Смерть единственного любящего человека в ее жизни.  Она уехала, в надежде на спасение, думая, что ей станет проще начать жизнь с чистого листа. Но станет ли для нее это возможным?",,События происходят после 55 серии.,Уточнять у автора/переводчика,False
291,стонарики по райяри,['Райя и последний дракон'],['Аня Sfinks'],['Намаари/Райя'],Фемслэш,"['AU', 'Вампиры', 'Засосы / Укусы', 'Кинк на руки', 'Микрофикшен', 'Наги', 'Нецензурная лексика', 'Оборотни', 'Омегаверс', 'Офисы', 'Официанты / Официантки', 'Радио', 'Секс по телефону', 'Смерть основных персонажей', 'Стимуляция руками', 'Тюрьмы / Темницы', 'Уличные гонки', 'Упоминания изнасилования']","['Кинк на руки', 'Нецензурная лексика', 'Секс по телефону', 'Стимуляция руками', 'Упоминания изнасилования']",R,Завершён,7,3,1,"20 страниц,
                                                20 частей",разнорейтинговые драбблы на 100 слов по ключевым словам,,,Уточнять у автора/переводчика,False
292,"Одна банда, дуэт",['13 Карт'],['_Овнушка_'],[],Слэш,"['AU', 'Драма', 'Нежный секс', 'Нецензурная лексика', 'ООС', 'Романтика', 'Юмор']","['Нежный секс', 'Нецензурная лексика']",NC-17,В процессе,13,8,0,"планируется Миди, написано                                                33 страницы,
                                                11 частей","Пиковые тоже любят друг друга, но просто не проявляют это при других, как другие масти...
Пик понял, что что бы утихомирить Вару с ним нужно 'подружиться'   
 или пот**хаться 🌚. 
         (Отношения будут здоровыми)",,"Если что, то я рил старалась
Я сюжет неделю 🥞 обдумывала!!!
И да, смотрю это традиция:
     Это мой 1й ФФ, не судите строго.",Запрещено в любом виде,False
